# Поправки ударений: модель ставит иначе, против неё словари AOT и Викисловаря вместе или словарь Демагога с одним из них (tools/stress_fixes.txt)
аблативными аблат+ивными
авиакрыла авиакрыл+а
авиакрылом авиакрыл+ом
агробиологи агроби+ологи
аденом аден+ом
акрополю акр+ополю
алатырь ал+атырь
алуштой ал+уштой
амелией ам+елией
амелии ам+елии
амелию ам+елию
антиохия анти+охия
антиохиям анти+охиям
аомынем аом+ынем
аомыню аом+ыню
апплетов аппл+етов
апплетом аппл+етом
апплеты аппл+еты
ареццо ар+еццо
арманьяком армань+яком
арности +арности
арность +арность
арностью +арностью
аэросаням аэросан+ям
аэросанях аэросан+ях
балаклее балакл+ее
балаклею балакл+ею
баргузин баргуз+ин
батам б+атам
батами б+атами
батах б+атах
батек б+атек
батрачками батр+ачками
батрачках батр+ачках
батрачке батр+ачке
батрачку батр+ачку
бедуину беду+ину
безвременника безвр+еменника
безвременникам безвр+еменникам
безвременниками безвр+еменниками
безвременниках безвр+еменниках
безвременнике безвр+еменнике
безвременники безвр+еменники
безвременников безвр+еменников
безвременником безвр+еменником
безвременнику безвр+еменнику
безмашинных безмаш+инных
белену белен+у
благодарена благодарен+а
благодарено благодарен+о
благодарены благодарен+ы
благоприобретенного благоприобр+етенного
благоприобретенное благоприобр+етенное
благоприобретенной благоприобр+етенной
благоприобретенном благоприобр+етенном
благоприобретенному благоприобр+етенному
благоприобретенною благоприобр+етенною
благоприобретенную благоприобр+етенную
благоприобретенные благоприобр+етенные
благоприобретенным благоприобр+етенным
благоприобретенными благоприобр+етенными
благоприобретенных благоприобр+етенных
блажен блаж+ен
боготворена боготворен+а
боготворено боготворен+о
боготворены боготворен+ы
большие больш+ие
больших больш+их
бородкам бор+одкам
боронено боронен+о
боронены боронен+ы
босое бос+ое
братанами брат+анами
братанах брат+анах
братану брат+ану
братку братк+у
броды бр+оды
бунтована бунт+ована
бунтовано бунт+овано
бунтованы бунт+ованы
бурен б+урен
бутылям бут+ылям
буям бу+ям
буями бу+ями
вбегав вбег+ав
вездесущесть вездес+ущесть
великовозрастна великов+озрастна
великовозрастная великов+озрастная
великовозрастно великов+озрастно
великовозрастною великов+озрастною
великовозрастны великов+озрастны
верея вере+я
веселев весел+ев
вестерны в+естерны
взбеги взбег+и
взбудоражившая взбудор+ажившая
взбудоражившего взбудор+ажившего
взбудоражившем взбудор+ажившем
взбудоражившему взбудор+ажившему
взбудоражившие взбудор+ажившие
взбудораживший взбудор+аживший
взбудоражившим взбудор+ажившим
взбудораживших взбудор+аживших
взбудоражившую взбудор+ажившую
