# Имена символов — Unicode CLDR (common/annotations/ru.xml, annotationsDerived/ru.xml), tools/symbols_ru.py.
# Copyright © 2001–2026 Unicode, Inc. Distributed under the Unicode License v3 (SPDX: Unicode-3.0):
# полный текст уведомления — cldr.LICENSE.txt рядом.
# Формат: знак <TAB> имя.
#	знак решетки
$	доллар
%	процент
&	амперсанд
*	звездочка
+	плюс
/	косая черта
<	меньше
=	равно
>	больше
@	коммерческое эт
\	обратная косая черта
^	циркумфлекс
_	подчеркивание
|	вертикальная черта
~	тильда
¢	цент
£	фунт
¤	неизвестная валюта
¥	иена
§	параграф
¨	диерезис
©	значок защиты авторского права
¬	отрицание
®	зарегистрированный товарный знак
°	градус
±	плюс-минус
¶	знак абзаца
·	интерпункт
×	умножение
÷	деление
֏	армянский драм
؋	афгани
،	арабская запятая
؛	арабская точка с запятой
؟	арабский вопросительный знак
৳	бангладешская така
฿	таиландский бат
៛	камбоджийский риель
†	типографский крестик
‡	двойной крестик
•	маркер пункта в списке
‧	точка переноса
‰	промилле
′	штрих
″	двойной штрих
‴	тройной штрих
‸	карет
※	знак сноски
‽	интерробанг
‾	надчеркивание
⁂	астеризм
⁄	дробная наклонная черта
⁻	надстрочный минус
₡	костариканский колон
₢	крузейро
₣	французский франк
₤	лира
₥	милль
₦	нигерийская найра
₧	Испанская песета
₨	рупия
₩	вона
₪	новый израильский шекель
₫	вьетнамский донг
€	евро
₭	лаосский кип
₮	монгольский тугрик
₰	немецкий пенни
₱	песо
₲	парагвайский гуарани
₳	аустраль
₴	украинская гривна
₵	ганский седи
₶	турский ливр
₷	спесмило
₸	казахский тенге
₹	индийская рупия
₺	турецкая лира
₼	азербайджанский манат
₽	рубль
₾	грузинский лари
₿	биткоин
℗	авторское право на музыку
™	товарный знак
←	стрелка налево
↑	стрелка кверху
→	стрелка направо
↓	стрелка книзу
↔	стрелка влево-вправо
↕	стрелка вверх-вниз
↖	стрелка влево-вверх
↗	стрелка вправо-вверх
↘	стрелка вправо-вниз
↙	стрелка влево-вниз
↚	перечеркнутая стрелка влево
↛	перечеркнутая стрелка вправо
↜	волнистая стрелка влево
↝	волнистая стрелка вправо
↞	стрелка влево с двумя наконечниками
↟	стрелка вверх с двумя наконечниками
↠	стрелка вправо с двумя наконечниками
↡	стрелка вниз с двумя наконечниками
↢	стрелка влево с хвостом
↣	стрелка вправо с хвостом
↤	стрелка влево из вертикальной черты
↥	стрелка вверх из вертикальной черты
↦	стрелка вправо из вертикальной черты
↧	стрелка вниз из вертикальной черты
↨	стрелка вверх и вниз от планки внизу
↩	стрелка вправо с поворотом влево
↪	стрелка влево с поворотом вправо
↫	стрелка влево с петлей
↬	стрелка вправо с петлей
↭	волнистая стрелка вправо-влево
↮	перечеркнутая стрелка вправо-влево
↯	зигзагообразная стрелка вниз
↰	стрелка вверх с поворотом налево
↱	стрелка вверх с поворотом направо
↲	стрелка вниз с поворотом налево
↳	стрелка вниз с поворотом направо
↴	стрелка вправо с поворотом вниз под прямым углом
↵	стрелка вниз с поворотом налево под прямым углом
↶	стрелка полукругом против часовой стрелки
↷	стрелка полукругом по часовой стрелке
↸	стрелка на северо-запад под длинной чертой
↹	стрелка влево над стрелкой вправо с перпендикулярными чертами
↺	круглая стрелка с наконечником против часовой стрелки
↻	круглая стрелка с наконечником по часовой стрелке
↼	гарпун влево с зубцом вверх
↽	гарпун влево с зубцом вниз
↾	гарпун вверх с зубцом вправо
↿	гарпун вверх с зубцом влево
⇀	гарпун вправо с зубцом вверх
⇁	гарпун вправо с зубцом вниз
⇂	гарпун вниз с зубцом вправо
⇃	гарпун вниз с зубцом влево
⇄	стрелка вправо над стрелкой влево
⇅	стрелки кверху и книзу
⇆	стрелка налево над стрелкой направо
⇇	парные стрелки влево
⇈	парные стрелки вверх
⇉	парные стрелки вправо
⇊	парные стрелки вниз
⇋	гарпун влево над гарпуном вправо
⇌	гарпун вправо над гарпуном влево
⇍	двойная перечеркнутая стрелка влево
⇎	двойная перечеркнутая стрелка влево-вправо
⇏	двойная перечеркнутая стрелка вправо
⇐	двойная стрелка влево
⇑	двойная стрелка вверх
⇒	двойная стрелка вправо
⇓	двойная стрелка вниз
⇔	двойная стрелка влево-вправо
⇖	двойная стрелка на северо-запад
⇗	двойная стрелка на северо-восток
⇘	двойная стрелка на юго-восток
⇙	двойная стрелка на юго-запад
⇚	тройная стрелка влево
⇛	тройная стрелка вправо
⇜	стрелка влево с изгибами
⇝	стрелка вправо с изгибами
⇞	стрелка вверх с двойным перечеркиванием
⇟	стрелка вниз с двойным перечеркиванием
⇠	пунктирная стрелка влево
⇡	пунктирная стрелка вверх
⇢	пунктирная стрелка вправо
⇣	пунктирная стрелка вниз
⇤	стрелка влево, упирающаяся в планку
⇥	стрелка вправо, упирающаяся в планку
⇦	полая стрелка влево
⇧	полая стрелка вверх
⇨	полая стрелка вправо
⇩	полая стрелка вниз
⇪	полая стрелка вверх на прямоугольнике
⇵	стрелка вниз слева от стрелки вверх
∀	для всех
∂	частичный дифференциал
∃	существует
∅	пустое множество
∆	инкремент
∇	набла
∈	принадлежность множеству
∉	не принадлежит
∋	содержит в качестве члена
∎	конец доказательства
∏	произведение
∑	сумма
−	минус
∓	знак минус-плюс
∕	разделительный знак
∗	оператор звездочки
∘	кольцевой оператор
∙	оператор произведения
√	квадратный корень
∝	пропорционально
∞	знак бесконечности
∟	прямой угол
∠	острый угол
∣	разделяет
∥	параллельно
∧	логическое и
∩	пересечение
∪	объединение
∫	интеграл
∬	двойной интеграл
∮	интеграл по замкнутому контуру
∴	следовательно
∵	поскольку
∶	соотношение
∷	пропорция
∼	оператор тильды
∽	обратная тильда
∾	инвертированная плавная S
≃	асимптотически равно
≅	конгруэнтность
≈	приблизительно равно
≌	все равны
≒	приблизительное равенство
≖	кольцо в равно
≠	не равно
≡	тождество
≣	строго эквивалентно
≤	меньше или равно
≥	больше или равно
≦	меньше над равно
≧	больше над равно
≪	намного меньше
≫	намного больше
≬	между
≮	не меньше чем
≯	не больше чем
≳	больше или эквивалентно
≺	предшествует
≻	следует
⊁	не следует
⊂	подмножество
⊃	надмножество
⊆	подмножество равно
⊇	надмножество равно
⊕	плюс в круге
⊖	минус в круге
⊗	знак умножения в круге
⊘	дробная черта в круге
⊙	оператор точки в круге
⊚	кольцевой оператор в круге
⊛	оператор звездочки в круге
⊞	плюс в квадрате
⊟	минус в квадрате
⊥	вертикальный шип
⊮	не влечет
⊰	предшествует относительно
⊱	следует относительно
⊶	прообраз
⊹	эрмитова сопряженная матрица
⊿	прямоугольный треугольник
⋁	n-арное логическое или
⋂	n-арное пересечение
⋃	n-арное объединение
⋅	оператор точки
⋆	оператор звезды
⋈	естественное соединение
⋒	двойное пересечение
⋘	гораздо меньше
⋙	гораздо больше
⋭	не содержит как нормальную подгруппу или не равно
⋮	вертикальное многоточие
⋯	внутристрочное горизонтальное многоточие
⋰	диагональное многоточие вверх вправо
⋱	диагональное многоточие вниз вправо
Ⓜ	буква м в кружке
■	закрашенный квадрат
□	полый квадрат
▢	полый квадрат с закругленными углами
▣	закрашенный квадрат внутри полого квадрата
▤	квадрат с горизонтальной штриховкой
▥	квадрат с вертикальной штриховкой
▦	квадрат с ортогональной перекрестной штриховкой
▧	квадрат с диагональной штриховкой слева направо
▨	квадрат с диагональной штриховкой справа налево
▩	квадрат с диагональной перекрестной штриховкой
▪	черный квадратик
▫	белый квадратик
▬	закрашенный прямоугольник
▭	полый прямоугольник
▮	закрашенный вертикальный прямоугольник
▰	закрашенный параллелограмм
▲	закрашенный треугольник вершиной вверх
△	полый треугольник вершиной вверх
▴	небольшой закрашенный треугольник вершиной вверх
▵	небольшой полый треугольник вершиной вверх
▶	воспроизведение
▷	полый треугольник вершиной вправо
▸	небольшой закрашенный треугольник вершиной вправо
▹	небольшой полый треугольник вершиной вправо
►	закрашенный указатель вправо
▻	полый указатель вправо
▼	закрашенный треугольник вершиной вниз
▽	полый треугольник вершиной вниз
▾	небольшой закрашенный треугольник вершиной вниз
▿	небольшой полый треугольник вершиной вниз
◀	реверс
◁	полый треугольник вершиной влево
◂	небольшой закрашенный треугольник вершиной влево
◃	небольшой полый треугольник вершиной влево
◄	закрашенный указатель влево
◅	полый указатель влево
◆	закрашенный ромб
◇	полый ромб
◈	закрашенный ромб внутри полого ромба
◉	закрашенный круг внутри полого круга
◊	ромб
○	незакрашенный круг
◌	пунктирный круг
◍	круг с вертикальной штриховкой
◎	концентрические круги
●	закрашенный круг
◐	круг с закрашенной левой половиной
◑	круг с закрашенной правой половиной
◒	круг с закрашенной нижней половиной
◓	круг с закрашенной верхней половиной
◔	круг с закрашенной верхней правой четвертью
◕	закрашенный круг с полой верхней левой четвертью
◖	закрашенная левая половина круга
◗	закрашенная правая половина круга
◘	инвертированный маркер пункта в списке
◙	полый круг внутри закрашенного квадрата
◜	дуга в верхней левой четверти
◝	дуга в верхней правой четверти
◞	дуга в нижней правой четверти
◟	дуга в нижней левой четверти
◠	верхний полукруг
◡	нижний полукруг
◢	закрашенный нижний правый треугольник
◣	закрашенный нижний левый треугольник
◤	закрашенный верхний левый треугольник
◥	закрашенный верхний правый треугольник
◦	полый маркер пункта в списке
◯	большой незакрашенный круг
◳	полый квадрат с полой верхней правой четвертью
◷	полый круг с полой верхней правой четвертью
◻	белый квадрат
◼	черный квадрат
◽	небольшой белый квадрат
◾	небольшой черный квадрат
◿	нижний правый треугольник
⤴	стрелка вправо с поворотом вверх
⤵	стрелка вправо с поворотом вниз
⨧	плюс с цифрой два в нижнем регистре
⨯	векторное произведение
⨼	внутреннее произведение
⩣	логическое или с двойным подчеркиванием
⩽	меньше с наклонным равно
⪍	меньше над асимптотически равно
⪚	больше под равно
⪺	следует над приблизительно не равно
、	идеографическая запятая
。	идеографическая точка
・	интерпункт катаканы
﷼	риал
