# Поправки ударений: модель Silero Stress ставит иначе, AOT и Викисловарь согласны. tools/stress_fixes.py build
# слово = ударение  # частота в субтитрах, как ставит модель, разбор AOT
остановится = остан+овится  # 1582, модель останов+ится, остановиться:V:perf,intrans,act,fut,3p,sg
следа = сл+еда  # 1382, модель след+а, след:N:inanim,mas,sg,gen
приходиться = приход+иться  # 439, модель прих+одиться, приходиться:INFINITIVE:imperf,intrans,act
крикет = кр+икет  # 423, модель крик+ет, крикет:N:inanim,mas,sg,acc
христианин = христиан+ин  # 406, модель христи+анин, христианин:N:anim,mas,sg,nom
ясна = ясн+а  # 399, модель +ясна, ясный:ADJ_SHORT:qual,fem,sg,anim,inanim
орлеана = орле+ана  # 359, модель орл+еана, орлеан:N:inanim,mas,sg,gen
пляжу = пл+яжу  # 348, модель пляж+у, пляж:N:inanim,mas,sg,dat
рулит = рул+ит  # 271, модель р+улит, рулить:V:imperf,intrans,act,pres,3p,sg
юна = юн+а  # 238, модель +юна, юный:ADJ_SHORT:qual,fem,sg,anim,inanim
подождала = подождал+а  # 203, модель подожд+ала, подождать:V:perf,trans,act,past,fem,sg
некролог = некрол+ог  # 195, модель некр+олог, некролог:N:inanim,mas,sg,acc
знамение = зн+амение  # 183, модель знам+ение, знамение:N:inanim,neu,sg,acc
подключены = подключен+ы  # 179, модель подкл+ючены, подключить:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,pl
взята = взят+а  # 175, модель вз+ята, взять:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
профессоров = профессор+ов  # 137, модель проф+ессоров, профессор:N:anim,mas,pl,acc
отключено = отключен+о  # 120, модель откл+ючено, отключить:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,neu
подключена = подключен+а  # 120, модель подкл+ючена, подключить:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
ходатайства = ход+атайства  # 109, модель ходат+айства, ходатайство:N:inanim,neu,pl,acc
грудей = груд+ей  # 106, модель гр+удей, грудь:N:inanim,fem,pl,gen
херов = хер+ов  # 104, модель х+еров, хер:N:inanim,mas,pl,gen
логин = лог+ин  # 103, модель л+огин, логин:N:inanim,mas,sg,acc
третей = трет+ей  # 99, модель тр+етей, треть:N:inanim,fem,pl,gen
кондор = к+ондор  # 92, модель конд+ор, кондор:N:anim,mas,sg,nom
прибывшие = приб+ывшие  # 92, модель пр+ибывшие, прибыть:PARTICIPLE:perf,intrans,anim,inanim,past,act,pl,nom
знамения = зн+амения  # 90, модель знам+ения, знамение:N:inanim,neu,pl,acc
добыла = добыл+а  # 85, модель доб+ыла, добыть:V:perf,trans,act,past,fem,sg
покрути = покрут+и  # 76, модель покр+ути, покрутить:V:perf,trans,act,imp,2p,sg
входов = вх+одов  # 66, модель вход+ов, вход:N:inanim,mas,pl,gen
крикете = кр+икете  # 66, модель крик+ете, крикет:N:inanim,mas,sg,prp
каталогов = катал+огов  # 56, модель кат+алогов, каталог:N:inanim,mas,pl,gen
страховщики = страх+овщики  # 56, модель страховщик+и, страховщик:N:anim,mas,pl,nom
оборвала = оборвал+а  # 55, модель оборв+ала, оборвать:V:perf,trans,act,past,fem,sg
блажен = блаж+ен  # 50, модель бл+ажен, блаженный:ADJ_SHORT:qual,mas,sg,anim,inanim
искрой = +искрой  # 49, модель искр+ой, искра:N:inanim,fem,sg,ins
нападая = напад+ая  # 49, модель нап+адая, нападать:ADV_PARTICIPLE:imperf,intrans,act,pres
вестерны = в+естерны  # 48, модель вест+ерны, вестерн:N:inanim,mas,pl,acc
просек = пр+осек  # 48, модель прос+ек, просек:N:inanim,mas,sg,acc
ревеня = ревен+я  # 45, модель р+евеня, ревень:N:inanim,mas,sg,gen
приверженцев = прив+ерженцев  # 43, модель приверж+енцев, приверженец:N:anim,mas,pl,acc
христианам = христи+анам  # 42, модель хр+истианам, христианин:N:anim,mas,pl,dat
потуги = пот+уги  # 40, модель п+отуги, потуга:N:inanim,fem,pl,acc
гербом = герб+ом  # 36, модель г+ербом, герб:N:inanim,mas,sg,ins
хреновых = хрен+овых  # 35, модель хр+еновых, хреновый:A:qual,pl,acc,anim
каллиграфии = каллигр+афии  # 33, модель каллиграф+ии, каллиграфия:N:inanim,fem,pl,acc
ангелики = анг+елики  # 30, модель ангел+ики, ангелика:N:sing_tant,inanim,fem,sg,gen
затыкаться = затык+аться  # 30, модель зат+ыкаться, затыкаться:INFINITIVE:imperf,intrans,act
знамением = зн+амением  # 30, модель знам+ением, знамение:N:inanim,neu,sg,ins
братанами = брат+анами  # 28, модель братанами, братан:N:anim,mas,pl,ins
ходатайству = ход+атайству  # 28, модель ходат+айству, ходатайство:N:inanim,neu,sg,dat
толстяками = толстяк+ами  # 25, модель толст+яками, толстяк:N:anim,mas,pl,ins
ангелика = анг+елика  # 22, модель ангел+ика, ангелика:N:sing_tant,inanim,fem,sg,nom
затыкаюсь = затык+аюсь  # 22, модель зат+ыкаюсь, затыкаться:V:imperf,intrans,act,pres,1p,sg
крепятся = креп+ятся  # 21, модель кр+епятся, крепиться:V:imperf,intrans,act,pres,3p,pl
впадала = впад+ала  # 20, модель впадала, впадать:V:imperf,intrans,act,past,fem,sg
неумно = неумн+о  # 20, модель не+умно, неумный:ADJ_SHORT:neu,sg,anim,inanim
отбываете = отбыв+аете  # 20, модель отб+ываете, отбывать:V:imperf,trans,act,pres,2p,pl
выползай = выполз+ай  # 19, модель в+ыползай, выползать:V:imperf,intrans,act,imp,2p,sg
затыкался = затык+ался  # 19, модель зат+ыкался, затыкаться:V:imperf,intrans,act,past,mas,sg
камыши = камыш+и  # 19, модель кам+ыши, камыш:N:inanim,mas,pl,acc
хряка = хряк+а  # 19, модель хр+яка, хряк:N:anim,mas,sg,acc
мочей = м+очей  # 18, модель моч+ей, мочь:N:inanim,fem,pl,gen
нуга = нуг+а  # 17, модель н+уга, нуга:N:sing_tant,inanim,fem,sg,nom
ухи = ух+и  # 17, модель +ухи, уха:N:sing_tant,inanim,fem,sg,gen
крикетом = кр+икетом  # 16, модель крик+етом, крикет:N:inanim,mas,sg,ins
логином = лог+ином  # 16, модель л+огином, логин:N:inanim,mas,sg,ins
подмету = подмет+у  # 16, модель подм+ету, подмести:V:perf,trans,act,fut,1p,sg
татуированной = тату+ированной  # 16, модель татуир+ованной, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,fem,dat
братану = брат+ану  # 14, модель братан+у, братан:N:anim,mas,sg,dat
воспринята = воспринят+а  # 14, модель воспр+инята, воспринять:PARTICIPLE_SHORT:perf,trans,anim,inanim,past,pass,sg,fem
долбишь = долб+ишь  # 14, модель д+олбишь, долбить:V:imperf,trans,act,pres,2p,sg
завралась = заврал+ась  # 14, модель завр+алась, завраться:V:perf,intrans,act,past,fem,sg
пересеки = пересек+и  # 14, модель перес+еки, пересечь:V:perf,trans,act,imp,2p,sg
татуированные = тату+ированные  # 14, модель татуир+ованные, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,pl,nom
запусков = з+апусков  # 13, модель запуск+ов, запуск:N:inanim,mas,pl,gen
памятуя = п+амятуя  # 13, модель памят+уя, памятовать:ADV_PARTICIPLE:imperf,trans,act,pres
татуированного = тату+ированного  # 13, модель татуир+ованного, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,mas,gen
капор = к+апор  # 12, модель кап+ор, капор:N:inanim,mas,sg,acc
подои = подо+и  # 12, модель под+ои, подоить:V:perf,trans,act,imp,2p,sg
поселись = посел+ись  # 12, модель поселись, поселиться:V:perf,intrans,act,imp,2p,sg
татуированная = тату+ированная  # 12, модель татуир+ованная, татуировать:PARTICIPLE:perf,imperf,trans,anim,inanim,past,pass,sg,fem,nom
