# Имена и термины из первых абзацев Википедии: модель ставит иначе (tools/wiki_names.py build)
# слово = ударение  # раз в тексте Википедии, модель, статья
борисович = бор+исович  # 130555, модель борис+ович
оскар = +оскар  # 99855, модель оск+ар
летию = л+етию  # 64518, модель лет+ию, летия
рио = р+ио  # 56263, модель ри+о
кевин = к+евин  # 52949, модель кев+ин
элизабет = эл+изабет  # 48503, модель элизаб+ет
шевченко = шевч+енко  # 48079, модель ш+евченко
паулу = п+аулу  # 44131, модель па+улу
лопес = л+опес  # 38574, модель лоп+ес
мухаммад = мух+аммад  # 38348, модель мухамм+ад
кинопремия = кинопр+емия  # 37839, модель кинопрем+ия
льюис = ль+юис  # 37455, модель лью+ис
австро = +австро  # 35871, модель австр+о
фердинанд = фердин+анд  # 31565, модель ф+ердинанд
уильяма = у+ильяма  # 30154, модель уиль+яма
фернандес = ферн+андес  # 29973, модель фернанд+ес
конкакаф = конкак+аф  # 28180, модель конк+акаф
гомельская = г+омельская  # 28056, модель гом+ельская
филип = ф+илип  # 25803, модель фил+ип
аллен = +аллен  # 25673, модель алл+ен
санчес = с+анчес  # 25496, модель санч+ес
джеймса = дж+еймса  # 25113, модель джеймс+а
абрамович = абр+амович  # 22957, модель абрам+ович
джордан = дж+ордан  # 22945, модель джорд+ан
паоло = п+аоло  # 22116, модель па+оло
депортиво = депорт+иво  # 21376, модель деп+ортиво
уокер = у+окер  # 20541, модель +уокер
вольфганг = в+ольфганг  # 19825, модель вольфг+анг
эксмо = эксм+о  # 19542, модель +эксмо
томаш = т+омаш  # 19541, модель том+аш
посполитой = поспол+итой  # 19496, модель посполит+ой
насьональ = насьон+аль  # 19379, модель нась+ональ
брауншвейг = бр+ауншвейг  # 17721, модель брауншв+ейг
винсент = в+инсент  # 17581, модель винс+ент
осипович = +осипович  # 17046, модель осип+ович
расинг = р+асинг  # 16725, модель рас+инг
хавьер = хавь+ер  # 16591, модель х+авьер
ана = +ана  # 16364, модель ан+а
аустрия = а+устрия  # 15862, модель аустр+ия
элис = +элис  # 15604, модель эл+ис
люси = л+юси  # 15471, модель люс+и
винницкая = в+инницкая  # 15148, модель винн+ицкая
хапоэль = хапо+эль  # 15128, модель хапоэль
кармен = к+армен  # 15105, модель карм+ен
риу = р+иу  # 15081, модель ри+у
моррис = м+оррис  # 14910, модель морр+ис
гуго = г+уго  # 14774, модель гуг+о
уилл = у+илл  # 14763, модель +уилл
ханна = х+анна  # 14747, модель ханн+а
ангальт = +ангальт  # 14151, модель анг+альт
грегори = гр+егори  # 14143, модель грегор+и
расселл = р+асселл  # 13829, модель расс+елл
николо = ник+оло  # 13640, модель н+иколо
олимпиакос = олимпиак+ос  # 13626, модель олимпи+акос
црвена = црв+ена  # 13484, модель црвен+а
кристал = кр+истал  # 13353, модель крист+ал
юзеф = +юзеф  # 13232, модель юз+еф
ромео = ром+ео  # 13009, модель р+омео
стефано = ст+ефано  # 12999, модель стеф+ано
михал = м+ихал  # 12963, модель мих+ал
бирмингем = б+ирмингем  # 12815, модель бирминг+ем
иоганна = иог+анна  # 12705, модель и+оганна
джошуа = дж+ошуа  # 12686, модель джош+уа
спасо = сп+асо  # 12583, модель спас+о
гюнтер = г+юнтер  # 12574, модель гюнт+ер
неман = н+еман  # 12530, модель нем+ан
гомельской = г+омельской  # 12528, модель гом+ельской, Гомельский
мекленбург = м+екленбург  # 12482, модель мекленб+ург
эдвардс = +эдвардс  # 12307, модель эдв+ардс
оуэн = +оуэн  # 12243, модель о+уэн
батэ = бат+э  # 12170, модель б+атэ
йохан = й+охан  # 12002, модель йох+ан
папуа = п+апуа  # 11995, модель папу+а
лукаш = л+укаш  # 11976, модель лук+аш
рияд = ри+яд  # 11939, модель р+ияд
пахтакор = пахтак+ор  # 11888, модель пахт+акор
вюртемберг = в+юртемберг  # 11871, модель вюртемб+ерг
джакомо = дж+акомо  # 11836, модель джак+омо
гильермо = гиль+ермо  # 11826, модель г+ильермо
боуи = б+оуи  # 11824, модель бо+уи
джорджо = дж+орджо  # 11714, модель джордж+о
жальгирис = ж+альгирис  # 11672, модель жальгир+ис
анджей = +анджей  # 11614, модель андж+ей
уотсон = у+отсон  # 11543, модель +уотсон
маккартни = макк+артни  # 11537, модель маккартн+и
хуниорс = х+униорс  # 11374, модель хуни+орс
огюст = ог+юст  # 11287, модель +огюст
галатасарай = галатасар+ай  # 11254, модель галатас+арай
сэмюэл = с+эмюэл  # 11241, модель сэмю+эл
мерседес = мерс+едес  # 11115, модель мерсед+ес
физико = ф+изико  # 11079, модель физ+ико
феррейра = ферр+ейра  # 11046, модель феррейр+а
марсело = марс+ело  # 10976, модель м+арсело
сандра = с+андра  # 10885, модель сандр+а
гильом = гиль+ом  # 10538, модель г+ильом
кароль = к+ароль  # 10512, модель кар+оль
монро = монр+о  # 10512, модель м+онро
каунти = к+аунти  # 10438, модель каунт+и
педру = п+едру  # 10391, модель педр+у
симпсон = с+импсон  # 10381, модель симпс+он
линдси = л+индси  # 10261, модель линдс+и
форест = ф+орест  # 10235, модель фор+ест
ричардсон = р+ичардсон  # 10163, модель рич+ардсон
секретарем = секрет+арем  # 10128, модель секретар+ем, секретарь
бетти = б+етти  # 10117, модель бетт+и
витория = вит+ория  # 10088, модель витор+ия
эдварда = эдв+арда  # 9950, модель +эдварда
лоренсо = лор+енсо  # 9906, модель л+оренсо
соуза = с+оуза  # 9899, модель со+уза
смита = см+ита  # 9868, модель смит+а
айнтрахт = айнтр+ахт  # 9690, модель +айнтрахт
нильсен = н+ильсен  # 9547, модель нильс+ен
самоа = сам+оа  # 9414, модель само+а
сокольский = сок+ольский  # 9391, модель с+окольский
денвер = д+енвер  # 9348, модель денв+ер
альваро = +альваро  # 9338, модель альв+аро
симпсоны = с+импсоны  # 9247, модель симпс+оны
индепендьенте = индепендь+енте  # 9234, модель индеп+ендьенте
медико = м+едико  # 9234, модель медик+о
луиса = лу+иса  # 9216, модель л+уиса
сары = сар+ы  # 9213, модель с+ары
даби = д+аби  # 9085, модель даб+и
балтимор = б+алтимор  # 9080, модель балтим+ор
хотспур = х+отспур  # 9061, модель хотсп+ур
монтана = монт+ана  # 9058, модель монтан+а
эллисон = +эллисон  # 8988, модель эллис+он
ромеро = ром+еро  # 8976, модель р+омеро
мозель = моз+ель  # 8899, модель м+озель
труа = тру+а  # 8840, модель тр+уа
дороти = д+ороти  # 8587, модель дорот+и
бешикташ = бешикт+аш  # 8582, модель беш+икташ
мохаммад = мохамм+ад  # 8559, модель мох+аммад
бундеслига = б+ундеслига  # 8543, модель бундесл+ига
микки = м+икки  # 8416, модель микк+и
баия = ба+ия  # 8413, модель б+аия
фердинанда = фердин+анда  # 8294, модель ф+ердинанда
пресли = пр+если  # 8255, модель пресл+и
юханссон = +юханссон  # 8237, модель юхансс+он
пауэлл = п+ауэлл  # 8218, модель па+уэлл
даугава = д+аугава  # 8191, модель дауг+ава
житомир = жит+омир  # 8172, модель житом+ир
ларссон = л+арссон  # 8171, модель ларсс+он
мидлсбро = м+идлсбро  # 8164, модель мидлсбр+о
триполи = тр+иполи  # 8148, модель трип+оли
сесар = с+есар  # 8110, модель сес+ар
маррей = м+аррей  # 8073, модель марр+ей
бергер = б+ергер  # 8067, модель берг+ер
хоакин = хоак+ин  # 7997, модель хо+акин
кальяри = к+альяри  # 7871, модель каль+яри
эрвин = +эрвин  # 7870, модель эрв+ин
эрикссон = +эрикссон  # 7850, модель эр+икссон
эдо = +эдо  # 7802, модель эд+о
брюинз = бр+юинз  # 7779, модель брю+инз
ворскла = в+орскла  # 7638, модель ворскл+а
наукова = наук+ова  # 7600, модель на+укова
вилья = в+илья  # 7558, модель виль+я
канадиенс = кан+адиенс  # 7550, модель канад+иенс
воронин = вор+онин  # 7536, модель ворон+ин
вольфсбург = в+ольфсбург  # 7522, модель вольфсб+ург
двинско = дв+инско  # 7513, модель двинск+о
гусман = гусм+ан  # 7510, модель г+усман
познань = п+ознань  # 7495, модель позн+ань
чемпионшип = ч+емпионшип  # 7470, модель чемпи+оншип
жака = ж+ака  # 7433, модель жак+а
себастьен = себасть+ен  # 7422, модель с+ебастьен
даугавпилс = д+аугавпилс  # 7315, модель даугавп+илс
велес = в+елес  # 7306, модель вел+ес
беверли = б+еверли  # 7232, модель бев+ерли
брюстера = бр+юстера  # 7155, модель брюст+ера
уайлд = у+айлд  # 7138, модель уайлд
лурье = лурь+е  # 7124, модель л+урье
виннипег = в+иннипег  # 7122, модель виннип+ег
руденко = руд+енко  # 7103, модель р+уденко
гутьеррес = гуть+еррес  # 7102, модель гутьерр+ес
льюиса = ль+юиса  # 7100, модель лью+иса
вюртемберга = в+юртемберга  # 7082, модель вюртемб+ерга, Вюртемберг
гонзага = гонз+ага  # 7080, модель гонзаг+а
сэма = с+эма  # 7080, модель сэм+а
анхальт = +анхальт  # 7058, модель анх+альт
паула = п+аула  # 7057, модель па+ула
эллиот = +эллиот  # 6997, модель элли+от
нанси = нанс+и  # 6990, модель н+анси
даррен = д+аррен  # 6986, модель дарр+ен
моше = мош+е  # 6972, модель м+оше
герреро = герр+еро  # 6948, модель г+ерреро
феодор = фе+одор  # 6924, модель феод+ор
моралес = мор+алес  # 6912, модель морал+ес
микеле = мик+еле  # 6906, модель м+икеле
микеланджело = микел+анджело  # 6876, модель микеландж+ело
хадсон = х+адсон  # 6849, модель хадс+он
лаос = ла+ос  # 6829, модель л+аос
ривера = рив+ера  # 6826, модель р+ивера
душан = д+ушан  # 6811, модель душ+ан
винер = в+инер  # 6810, модель вин+ер
донателло = донат+елло  # 6784, модель дон+ателло
эно = эн+о  # 6772, модель +эно
птолемей = птолем+ей  # 6759, модель птол+емей
